occurance           				word
10                  				brightest
10                  				brightness
10                  				brilliance
10                  				brilliantly
10                  				brink
10                  				brisk
10                  				bristle
10                  				bristled
10                  				brittle
10                  				broadcasts
10                  				broom
10                  				brother's
10                  				brutality
10                  				brutally
10                  				brutish
10                  				bubble
10                  				bubbly
10                  				bucketful
10                  				buckled
10                  				buckles
10                  				budgets
10                  				bug
10                  				bugged
10                  				builds
10                  				buildup
10                  				bulbs
10                  				bulletproof
10                  				bump
10                  				bumped
10                  				bumping
10                  				bun
10                  				bunching
10                  				burgundy
10                  				burly
10                  				burrowing
10                  				bursting
10                  				burying
10                  				bushy
10                  				butcher's
10                  				butchering
10                  				butchers
10                  				buts
10                  				butt
10                  				butters
10                  				buttery
10                  				buzzards
10                  				cabinet
10                  				cable
10                  				cadences
10                  				cages
10                  				calculated
10                  				calculating
10                  				calculation
10                  				caliber
10                  				callously
10                  				calmed
10                  				calming
10                  				camaraderie
10                  				cameraman
10                  				campfires
10                  				campsite
10                  				candies
10                  				candle
10                  				canine
10                  				canister
10                  				cannibalism
10                  				canteen
10                  				canvases
10                  				capabilities
10                  				capacity
10                  				capricious
10                  				capsule
10                  				carcasses
10                  				careen
10                  				careens
10                  				carelessness
10                  				caresses
10                  				carnivorous
10                  				carpets
10                  				carrion
10                  				carrot
10                  				cart
10                  				cases
10                  				casts
10                  				casual
10                  				catalyst
10                  				catastrophe
10                  				catatonic
10                  				cater
10                  				caters
10                  				caustic
10                  				cavelike
10                  				caving
10                  				ceased
10                  				ceases
10                  				ceilings
10                  				celebrities
10                  				centralized
10                  				centrifugal
10                  				ceramic
10                  				ceremonial
10                  				ceremony's
10                  				certainty
10                  				chalk
10                  				challenging
10                  				chamomile
10                  				champions
10                  				changes
10                  				chant
10                  				chanting
10                  				chaperoned
10                  				chaperones
10                  				chapter
10                  				character
10                  				characteristic
10                  				charging
10                  				charmingly
10                  				chased
10                  				chases
10                  				chat
10                  				chattered
10                  				chatting
10                  				cheap
10                  				cheekbones
10                  				cheered
10                  				cheerful
10                  				cheerfully
10                  				chemicals
10                  				cherries
10                  				chess
10                  				chick
10                  				child's
10                  				childhood
10                  				childrens
10                  				chime
10                  				chimneys
10                  				chinks
